Country,Code,Year,Happiness Index,Log GDP per capita,Social Support,Life expectancy,Freedom,Generosity,Perceptions of corruption,GINI of household,Poverty percent of population,Public spending on education,Literacy rate,Tourist arrivals,Int tourism revenue,Fragile state index,Security threats index,Brain drain index,Unemployment rate,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min)
Thailand,THA,2017,5.938895226,9.698039055,0.877268732,67,0.922896802,0.209213659,0.883816779,0.392733333,7.9,,,35592,57057,76.2,9,4.7,0.83,43.96164019,12.42,3161,12.42,1.5579,30.9,417
Togo,TGO,2017,4.360805035,7.332706451,0.507805228,54.29999924,0.716694415,-0.047754228,0.725519598,0.437666667,,23.14,,514,245,83.9,6.5,7.5,2.13,,,,,,,
Trinidad and Tobago,TTO,2017,6.191859722,10.26000214,0.916029036,63.5,0.859140456,0.000526841,0.911336362,,,,,395,717,56.7,6.3,8.1,2.71,,,,,,,
Tunisia,TUN,2017,4.124342918,9.301096916,0.717381597,66.59999847,0.477956653,-0.228446096,0.868826747,0.36775,,,,7052,1782,74.2,8.3,6.1,15.38,41.81280827,3.4,5042,3.4,3.0885,27.9,
Turkey,TUR,2017,5.607262135,10.12759113,0.876467824,66.40000153,0.644434214,-0.238010645,0.670910537,0.4058,13.9,,96.15,37601,31870,8.8,8.3,3.9,10.82,27.94413475,3.09,4656,3.09,3.0885,15.8,408
Uganda,UGA,2017,4.000516891,7.477723598,0.739956141,55.29999924,0.772344112,0.065945305,0.81577003,0.4322,,12.46,,1402,957,96,7.1,7.6,1.79,18.77571564,6.19,4828,6.19,4.181,30.3,
Ukraine,UKR,2017,4.311067104,8.975445747,0.858324885,64.30000305,0.598875523,0.019597124,0.936764002,0.265,2.4,13.05,,,,74,7.6,5.2,9.51,11.98881733,31.7,5916,31.7,2.4358,40.5,431
United Arab Emirates,ARE,2017,7.039419651,11.10760021,0.83552736,66.90000153,0.962016642,0.206439301,0,,,,,20394,21048,43.7,3.1,2.5,2.46,25.75544498,5.82,4162,5.82,2.6329,38.1,
United Kingdom,GBR,2017,7.103273392,10.59318733,0.937495291,72.09999847,0.812733293,0.292151928,0.418611348,0.341083333,,,,37651,47719,33.2,2.7,2.1,4.34,15.53203095,8.77,4776,8.77,0.6415,35,
Uruguay,URY,2017,6.336009979,9.935880661,0.91380167,68.90000153,0.897851646,-0.097525902,0.626581967,0.424666667,7.9,14.94,98.62,3674,2660,36.8,3.8,4.4,7.89,27.21356393,19.29,3928,19.29,0.6988,28.3,
United States,USA,2017,6.9917593,10.9054203,0.921002865,68.40000153,0.868496716,0.194489002,0.681191266,0.408166667,,,,77187,251544,35.6,3.2,1.7,4.36,22.12391664,13.45,5492,13.45,0.6415,28.6,438
Uzbekistan,UZB,2017,6.421447754,8.706077576,0.942131102,64.80000305,0.985177755,0.121196978,0.464641601,0.348,,23.03,,2690,835,81.5,7.1,6,5.83,15.74814566,9.82,2944,9.82,0.6988,30.5,
Venezuela,VEN,2017,5.070750713,8.977793694,0.895879328,66.30000305,0.635505021,-0.169090509,0.843969226,0.497166667,,,,427,,82.9,7.3,5.5,7.3,7.647448593,8.66,3330,8.66,0.6988,19.5,
Vietnam,VNM,2017,5.175278664,8.737690926,0,67.69999695,0,0,0,0.36275,,,,12922,8890,7.2,4.6,6.2,2.05,9.300878006,7.5,2531,7.5,0.0544,16.8,409
Zambia,ZMB,2017,3.932777405,8.220851898,0.74375391,54.79999924,0.823168576,0.129572228,0.739540637,0.5274,,14.81,,1083,653,87.8,4.6,7.9,11.63,20.55150373,6.57,3137,6.57,0.0544,,
Zimbabwe,ZWE,2017,3.63830018,7.851042271,0.754147053,55,0.752826095,-0.091539845,0.751208007,0.432,70,20.79,,2423,158,11.6,8.1,7.9,5.17,25.15495569,22.89,2796,22.89,0.0544,,
